RA,Nome,Ano,Idade,Genero,Ano_ingresso,Anos_na_PM,Instituicao_ensino,Fase_raw,Fase_num,Turma,Pedra,INDE,IAN,IDA,IEG,IAA,IPS,IPP,IPV,Nota_Mat,Nota_Por,Nota_Ing,Fase_ideal_raw,Fase_ideal_num,Defasagem,Categoria_Defasagem,Indicado_bolsa,Atingiu_PV,Rec_Psicologia
RA-1,Aluno-1,2022,19,Feminino,2016,6.0,Escola Pública,7,7,A,Quartzo,5.783,5.0,4.0,4.1,8.3,5.6,,7.278,2.7,3.5,6.0,Fase 8 (Universitários),8.0,-1,Moderada,True,False,Requer avaliação
RA-1,Aluno-1,2023,20,Feminino,2016,7.0,Privada *Parcerias com Bolsa 100%,FASE 8,8,8E,,,10.0,,,,,,,,,,Fase 8 (Universitários),8.0,0,Em fase,,,
RA-1,Aluno-1,2024,21,Feminino,2021,3.0,Privada *Parcerias com Bolsa 100%,8E,8,8E,,,10.0,,0.0,,,,,,,,Fase 8 (Universitários),8.0,0,Em fase,,,
RA-10,Aluno-10,2022,18,Feminino,2021,1.0,Escola Pública,7,7,A,Quartzo,5.784,5.0,4.1,5.2,8.3,5.0,,7.056,3.3,2.6,6.4,Fase 8 (Universitários),8.0,-1,Moderada,False,False,Requer avaliação
RA-100,Aluno-100,2022,13,Feminino,2019,3.0,Rede Decisão,4,4,A,Ametista,7.618,10.0,7.6,7.8,8.8,5.0,,7.25,7.0,7.8,8.1,Fase 3 (7º e 8º ano),3.0,1,Em fase,False,False,Não indicado
RA-1000,Aluno-1000,2023,8,Feminino,2023,0.0,Pública,ALFA,0,ALFA U - G2/G3,Ametista,7.9162,10.0,7.0,9.4,8.5,3.77,6.25,8.92,7.0,7.0,,ALFA (1° e 2° ano),,0,Em fase,,,
RA-1000,Aluno-1000,2024,9,Feminino,2023,1.0,Pública,1N,1,1N,Topázio,8.364790909100002,10.0,7.75,9.5454545455,9.002,6.26,8.125,7.835,7.5,8.0,,Fase 1 (3° e 4° ano),1.0,0,Em fase,,,
RA-1001,Aluno-1001,2023,9,Feminino,2023,0.0,Pública,ALFA,0,ALFA U - G2/G3,Topázio,8.1162,5.0,7.8,9.1,9.0,7.52,7.5,9.17,8.3,7.3,,Fase 1 (3° e 4° ano),1.0,-1,Moderada,,,
RA-1001,Aluno-1001,2024,10,Feminino,2023,1.0,Pública,1N,1,1N,Ametista,7.7964318841,5.0,7.75,9.347826087,7.502,7.51,7.916666667,7.92,6.5,9.0,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1002,Aluno-1002,2023,9,Feminino,2023,0.0,Pública,ALFA,0,ALFA U - G2/G3,Ametista,7.9012,5.0,7.0,9.7,9.0,7.52,6.25,8.92,7.0,7.0,,Fase 1 (3° e 4° ano),1.0,-1,Moderada,,,
RA-1002,Aluno-1002,2024,10,Feminino,2023,1.0,Pública,ALFA,0,ALFA N - G2/G3,Ametista,7.967866666700001,5.0,9.25,7.833333333500001,9.002,7.51,7.5,8.25,10.0,8.5,,Fase 1 (3° e 4° ano),1.0,-1,Moderada,,,
RA-1003,Aluno-1003,2023,8,Masculino,2023,0.0,Pública,ALFA,0,ALFA V - G0/G1,Ametista,7.6522,10.0,4.0,8.5,9.0,7.52,7.5,8.75,8.0,0.0,,ALFA (1° e 2° ano),,0,Em fase,,,
RA-1003,Aluno-1003,2024,9,Masculino,2023,1.0,Pública,ALFA,0,ALFA J - G2/G3,Ametista,7.627588888900001,5.0,8.25,8.6944444445,8.002,7.51,6.875,7.5,10.0,6.5,,Fase 1 (3° e 4° ano),1.0,-1,Moderada,,,
RA-1004,Aluno-1004,2023,8,Feminino,2023,0.0,Pública,ALFA,0,ALFA V - G0/G1,Topázio,8.3137,10.0,7.9,9.6,9.0,7.52,6.875,7.42,6.5,9.2,,ALFA (1° e 2° ano),,0,Em fase,,,
RA-1004,Aluno-1004,2024,9,Feminino,2023,1.0,Pública,ALFA,0,ALFA J - G2/G3,Ametista,7.801200000000001,5.0,7.5,9.25,9.502,7.51,7.5,7.5,7.5,7.5,,Fase 1 (3° e 4° ano),1.0,-1,Moderada,,,
RA-1005,Aluno-1005,2023,8,Masculino,2023,0.0,Pública,ALFA,0,ALFA V - G0/G1,Topázio,8.4252,10.0,8.8,7.9,9.5,7.52,7.5,8.165,8.4,9.2,,ALFA (1° e 2° ano),,0,Em fase,,,
RA-1006,Aluno-1006,2023,8,Feminino,2023,0.0,Pública,ALFA,0,ALFA V - G0/G1,Topázio,8.5922,10.0,8.7,9.3,9.0,7.52,7.5,8.0,8.7,8.6,,ALFA (1° e 2° ano),,0,Em fase,,,
RA-1006,Aluno-1006,2024,9,Feminino,2023,1.0,Pública,ALFA,0,ALFA J - G2/G3,Ametista,7.040088888900001,5.0,5.0,8.4444444445,8.502,7.51,7.5,7.5,5.0,5.0,,Fase 1 (3° e 4° ano),1.0,-1,Moderada,,,
RA-1007,Aluno-1007,2023,8,Masculino,2023,0.0,Pública,ALFA,0,ALFA V - G0/G1,Topázio,8.0782,10.0,8.3,7.4,9.0,7.52,7.5,7.68,8.1,8.5,,ALFA (1° e 2° ano),,0,Em fase,,,
RA-1008,Aluno-1008,2023,8,Masculino,2023,0.0,Pública,ALFA,0,ALFA V - G0/G1,Topázio,8.13595,10.0,8.4,8.6,9.0,7.52,5.9375,7.5,7.5,9.2,,ALFA (1° e 2° ano),,0,Em fase,,,
RA-1008,Aluno-1008,2024,9,Masculino,2023,1.0,Pública,ALFA,0,ALFA I - G2/G3,Ágata,6.8667414438000005,5.0,7.0,6.483957219,7.002,7.51,7.1875,7.5,6.5,7.5,,Fase 1 (3° e 4° ano),1.0,-1,Moderada,,,
RA-1009,Aluno-1009,2023,8,Masculino,2023,0.0,Pública,ALFA,0,ALFA Y - G0/G1,Ametista,7.245,10.0,8.8,9.0,0.0,3.77,7.5,7.84,8.3,9.2,,ALFA (1° e 2° ano),,0,Em fase,,,
RA-1009,Aluno-1009,2024,9,Masculino,2023,1.0,Pública,ALFA,0,ALFA E - G2/G3,Ágata,6.395389393900001,5.0,7.5,6.8863636365000005,8.002,2.51,6.5625,6.553333333,10.0,5.0,,Fase 1 (3° e 4° ano),1.0,-1,Moderada,,,
RA-101,Aluno-101,2022,15,Feminino,2021,1.0,Escola Pública,4,4,A,Ametista,7.305,5.0,7.6,8.3,7.9,7.5,,6.833,7.2,6.5,9.2,Fase 5 (1º EM),5.0,-1,Moderada,True,False,Não atendido
RA-1010,Aluno-1010,2023,8,Masculino,2023,0.0,Pública,ALFA,0,ALFA Y - G0/G1,Topázio,8.70645,10.0,9.4,10.0,9.5,3.77,7.8125,8.59,9.0,9.8,,ALFA (1° e 2° ano),,0,Em fase,,,
RA-1011,Aluno-1011,2023,7,Masculino,2023,0.0,Pública,ALFA,0,ALFA Y - G0/G1,Ametista,7.33095,10.0,5.2,8.6,9.5,3.77,7.1875,7.675,5.5,4.8,,ALFA (1° e 2° ano),,0,Em fase,,,
RA-1012,Aluno-1012,2023,8,Feminino,2023,0.0,Pública,ALFA,0,ALFA Y - G0/G1,Ametista,7.96495,10.0,6.6,9.9,10.0,3.77,7.1875,7.845,7.0,6.2,,ALFA (1° e 2° ano),,0,Em fase,,,
RA-1012,Aluno-1012,2024,9,Feminino,2023,1.0,Pública,ALFA,0,ALFA C - G0/G1,Topázio,8.057128571400002,5.0,9.75,9.523809524,9.502,2.51,8.125,8.443333333,10.0,9.5,,Fase 1 (3° e 4° ano),1.0,-1,Moderada,,,
RA-1013,Aluno-1013,2023,7,Masculino,2023,0.0,Pública,ALFA,0,ALFA Y - G0/G1,Ametista,7.6237,10.0,8.3,9.6,9.0,4.39,5.625,5.76,7.0,9.5,,ALFA (1° e 2° ano),,0,Em fase,,,
